"date","SpeciesName","n","prop"
2011-01-01,"Methicillin-Susceptible Staphylococcus aureus",129,0.75
2011-02-01,"Methicillin-Resistant Staphylococcus aureus",41,0.25
2011-02-01,"Methicillin-Susceptible Staphylococcus aureus",123,0.75
2011-03-01,"Methicillin-Resistant Staphylococcus aureus",33,0.195266272189349
2011-03-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.804733727810651
2011-04-01,"Methicillin-Resistant Staphylococcus aureus",39,0.224137931034483
2011-04-01,"Methicillin-Susceptible Staphylococcus aureus",135,0.775862068965517
2011-05-01,"Methicillin-Resistant Staphylococcus aureus",32,0.192771084337349
2011-05-01,"Methicillin-Susceptible Staphylococcus aureus",134,0.807228915662651
2011-06-01,"Methicillin-Resistant Staphylococcus aureus",40,0.217391304347826
2011-06-01,"Methicillin-Susceptible Staphylococcus aureus",144,0.782608695652174
2011-07-01,"Methicillin-Resistant Staphylococcus aureus",30,0.188679245283019
2011-07-01,"Methicillin-Susceptible Staphylococcus aureus",129,0.811320754716981
2011-08-01,"Methicillin-Resistant Staphylococcus aureus",45,0.240641711229947
2011-08-01,"Methicillin-Susceptible Staphylococcus aureus",142,0.759358288770054
2011-09-01,"Methicillin-Resistant Staphylococcus aureus",43,0.19815668202765
2011-09-01,"Methicillin-Susceptible Staphylococcus aureus",174,0.80184331797235
2011-10-01,"Methicillin-Resistant Staphylococcus aureus",28,0.137931034482759
2011-10-01,"Methicillin-Susceptible Staphylococcus aureus",175,0.862068965517241
2011-11-01,"Methicillin-Resistant Staphylococcus aureus",44,0.245810055865922
2011-11-01,"Methicillin-Susceptible Staphylococcus aureus",135,0.754189944134078
2011-12-01,"Methicillin-Resistant Staphylococcus aureus",33,0.212903225806452
2011-12-01,"Methicillin-Susceptible Staphylococcus aureus",122,0.787096774193548
2012-01-01,"Methicillin-Resistant Staphylococcus aureus",31,0.172222222222222
2012-01-01,"Methicillin-Susceptible Staphylococcus aureus",149,0.827777777777778
2012-02-01,"Methicillin-Resistant Staphylococcus aureus",29,0.180124223602484
2012-02-01,"Methicillin-Susceptible Staphylococcus aureus",132,0.819875776397516
2012-03-01,"Methicillin-Resistant Staphylococcus aureus",33,0.198795180722892
2012-03-01,"Methicillin-Susceptible Staphylococcus aureus",133,0.801204819277108
2012-04-01,"Methicillin-Resistant Staphylococcus aureus",26,0.178082191780822
2012-04-01,"Methicillin-Susceptible Staphylococcus aureus",120,0.821917808219178
2012-05-01,"Methicillin-Resistant Staphylococcus aureus",30,0.1875
2012-05-01,"Methicillin-Susceptible Staphylococcus aureus",130,0.8125
2012-06-01,"Methicillin-Resistant Staphylococcus aureus",31,0.192546583850932
2012-06-01,"Methicillin-Susceptible Staphylococcus aureus",130,0.807453416149068
2012-07-01,"Methicillin-Resistant Staphylococcus aureus",30,0.181818181818182
2012-07-01,"Methicillin-Susceptible Staphylococcus aureus",135,0.818181818181818
2012-08-01,"Methicillin-Resistant Staphylococcus aureus",28,0.193103448275862
2012-08-01,"Methicillin-Susceptible Staphylococcus aureus",117,0.806896551724138
2012-09-01,"Methicillin-Resistant Staphylococcus aureus",28,0.164705882352941
2012-09-01,"Methicillin-Susceptible Staphylococcus aureus",142,0.835294117647059
2012-10-01,"Methicillin-Resistant Staphylococcus aureus",27,0.167701863354037
2012-10-01,"Methicillin-Susceptible Staphylococcus aureus",134,0.832298136645963
2012-11-01,"Methicillin-Resistant Staphylococcus aureus",35,0.214723926380368
2012-11-01,"Methicillin-Susceptible Staphylococcus aureus",128,0.785276073619632
2012-12-01,"Methicillin-Resistant Staphylococcus aureus",29,0.198630136986301
2012-12-01,"Methicillin-Susceptible Staphylococcus aureus",117,0.801369863013699
2013-01-01,"Methicillin-Resistant Staphylococcus aureus",32,0.191616766467066
2013-01-01,"Methicillin-Susceptible Staphylococcus aureus",135,0.808383233532934
2013-02-01,"Methicillin-Resistant Staphylococcus aureus",31,0.221428571428571
2013-02-01,"Methicillin-Susceptible Staphylococcus aureus",109,0.778571428571429
2013-03-01,"Methicillin-Resistant Staphylococcus aureus",34,0.195402298850575
2013-03-01,"Methicillin-Susceptible Staphylococcus aureus",140,0.804597701149425
2013-04-01,"Methicillin-Resistant Staphylococcus aureus",41,0.234285714285714
2013-04-01,"Methicillin-Susceptible Staphylococcus aureus",134,0.765714285714286
2013-05-01,"Methicillin-Resistant Staphylococcus aureus",36,0.202247191011236
2013-05-01,"Methicillin-Susceptible Staphylococcus aureus",142,0.797752808988764
2013-06-01,"Methicillin-Resistant Staphylococcus aureus",44,0.291390728476821
2013-06-01,"Methicillin-Susceptible Staphylococcus aureus",107,0.708609271523179
2013-07-01,"Methicillin-Resistant Staphylococcus aureus",50,0.232558139534884
2013-07-01,"Methicillin-Susceptible Staphylococcus aureus",165,0.767441860465116
2013-08-01,"Methicillin-Resistant Staphylococcus aureus",42,0.208955223880597
2013-08-01,"Methicillin-Susceptible Staphylococcus aureus",159,0.791044776119403
2013-09-01,"Methicillin-Resistant Staphylococcus aureus",49,0.295180722891566
2013-09-01,"Methicillin-Susceptible Staphylococcus aureus",117,0.704819277108434
2013-10-01,"Methicillin-Resistant Staphylococcus aureus",49,0.272222222222222
2013-10-01,"Methicillin-Susceptible Staphylococcus aureus",131,0.727777777777778
2013-11-01,"Methicillin-Resistant Staphylococcus aureus",38,0.214689265536723
2013-11-01,"Methicillin-Susceptible Staphylococcus aureus",139,0.785310734463277
2013-12-01,"Methicillin-Resistant Staphylococcus aureus",25,0.142045454545455
2013-12-01,"Methicillin-Susceptible Staphylococcus aureus",151,0.857954545454545
2014-01-01,"Methicillin-Resistant Staphylococcus aureus",31,0.167567567567568
2014-01-01,"Methicillin-Susceptible Staphylococcus aureus",154,0.832432432432432
2014-02-01,"Methicillin-Resistant Staphylococcus aureus",36,0.227848101265823
2014-02-01,"Methicillin-Susceptible Staphylococcus aureus",122,0.772151898734177
2014-03-01,"Methicillin-Resistant Staphylococcus aureus",34,0.209876543209877
2014-03-01,"Methicillin-Susceptible Staphylococcus aureus",128,0.790123456790123
2014-04-01,"Methicillin-Resistant Staphylococcus aureus",36,0.208092485549133
2014-04-01,"Methicillin-Susceptible Staphylococcus aureus",137,0.791907514450867
2014-05-01,"Methicillin-Resistant Staphylococcus aureus",32,0.17877094972067
2014-05-01,"Methicillin-Susceptible Staphylococcus aureus",147,0.82122905027933
2014-06-01,"Methicillin-Resistant Staphylococcus aureus",37,0.196808510638298
2014-06-01,"Methicillin-Susceptible Staphylococcus aureus",151,0.803191489361702
2014-07-01,"Methicillin-Resistant Staphylococcus aureus",35,0.2
2014-07-01,"Methicillin-Susceptible Staphylococcus aureus",140,0.8
2014-08-01,"Methicillin-Resistant Staphylococcus aureus",39,0.246835443037975
2014-08-01,"Methicillin-Susceptible Staphylococcus aureus",119,0.753164556962025
2014-09-01,"Methicillin-Resistant Staphylococcus aureus",39,0.228070175438596
2014-09-01,"Methicillin-Susceptible Staphylococcus aureus",132,0.771929824561403
